,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
0,"Rs. 2,10,000",Used,7/10/2020,5,Kathmandu,Standard,2017,Bajaj,Pulsar 220F,220,92,36000
1,"Rs. 2,20,000",Used,25/9/2020,46,Pokhara,Standard,2015,Bajaj,Pulsar 220,220,11,19000
2,"Rs. 85,500",Used,14/8/2020,143,Lahan,Standard,2010,Bajaj,Pulsar 220,220,17,90000
3,"Rs. 2,60,000",Used,23/7/2020,89,Kathmandu,Cruiser,2018,Bajaj,Avenger,220,301,10600
4,"Rs. 2,20,000",Used,9/7/2020,137,Kathmandu,Sportsbike,2018,Bajaj,Pulsar 200NS,200,90,22000
5,"Rs. 2,15,000",Used,8/7/2020,120,Kathmandu,Cruiser,2018,Bajaj,Avenger,150,94,7000
6,"Rs. 1,40,000",Used,30/6/2020,364,Kathmandu,Standard,2017,Bajaj,Other,200,83,31000
7,"Rs. 1,93,000",Used,30/3/2017,174,Lekhnath,Standard,2015,Bajaj,Pulsar 220F,220,12,30000
8,"Rs. 2,85,000",Used,30/3/2017,120,Narayanghat,Standard,2016,Bajaj,Pulsar 220,220,45,1325
9,"Rs. 2,00,999",Used,24/3/2017,1319,Lekhnath,Standard,2015,Bajaj,Pulsar 220,220,12,29000
10,"Rs. 2,10,000",Used,18/3/2017,137,Kathmandu,Standard,2016,Bajaj,Pulsar 150,150,70,4500
11,"Rs. 1,56,000",Used,20/3/2017,538,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,59,14000
12,"Rs. 1,30,000",Used,16/3/2017,459,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,54,21000
13,"Rs. 1,30,000",Used,16/3/2017,319,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,54,21000
14,"Rs. 1,35,000",Used,16/3/2017,441,Kathmandu,Cruiser,2011,Bajaj,Avenger,220,57,19500
15,"Rs. 1,70,000",Used,15/3/2017,168,Kathmandu,Cruiser,2017,Bajaj,Avenger,220,65,23000
16,"Rs. 2,55,000",Used,14/3/2017,595,Lalitpur,Sportsbike,2016,Bajaj,Pulsar 200NS,200,81,6000
17,"Rs. 2,80,000",Used,9/3/2017,399,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,78,3700
18,"Rs. 2,80,000",Used,9/3/2017,285,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,78,3735
19,"Rs. 2,50,000",Used,9/3/2017,511,Bhaktapur,Sportsbike,2016,Bajaj,Pulsar 200NS,200,78,2500
20,"Rs. 2,20,000",Used,7/3/2017,406,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,67,13000
21,"Rs. 1,65,000",Used,25/2/2017,1666,Butwal,Standard,2014,Bajaj,Pulsar 150,150,2014,30000
22,"Rs. 1,70,000",Used,22/2/2017,1324,Biratnagar,Standard,2013,Bajaj,Pulsar 220S,220,17,30000
23,"Rs. 3,25,000",Used,17/2/2017,558,,Sportsbike,2016,Bajaj,Pulsar RS200,4,70,10000
24,"Rs. 1,58,000",Used,12/2/2017,298,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,70,1488
25,Rs. 220.00,Used,2/2/2017,399,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,8,26000
26,"Rs. 2,20,000",Used,2/2/2017,130,Lekhnath,Standard,2016,Bajaj,Pulsar AS200,200,11,8000
27,"Rs. 1,85,000",Used,1/2/2017,656,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,60,33000
28,Contact Seller,Used,30/1/2017,214,Butwal,Standard,2010,Bajaj,Pulsar 150,140,8,33000
29,"Rs. 1,85,000",Used,23/1/2017,90,Kathmandu,Standard,2012,Bajaj,Pulsar 150,150,46,37000
30,"Rs. 2,00,000",Used,23/1/2017,273,Dumre,Standard,2015,Bajaj,Pulsar AS200,200,10,8000
31,"Rs. 2,10,000",Used,18/1/2017,93,Kathmandu,Standard,2016,Bajaj,Pulsar 150,150,73,2000
32,"Rs. 92,000",Used,15/1/2017,172,Kathmandu,Standard,2010,Bajaj,Pulsar 180,180,43,38000
33,"Rs. 1,90,000",Used,15/1/2017,466,Kathmandu,Standard,2016,Bajaj,Pulsar AS200,200,69,11000
34,"Rs. 1,75,000",Used,14/1/2017,717,Pokhara,Standard,2014,Bajaj,Pulsar 220F,220,9,20000
35,"Rs. 2,10,000",Used,13/1/2017,266,Kathmandu,Standard,2016,Bajaj,Pulsar AS200,200,69,11000
36,"Rs. 2,60,000",Used,8/1/2017,595,Bhaktapur,Sportsbike,2017,Bajaj,Pulsar 200NS,200,79,2700
37,"Rs. 2,20,000",Used,8/1/2017,494,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,74,12000
38,"Rs. 95,000",Used,7/1/2017,172,Waling,Cruiser,2009,Bajaj,Avenger,200,10,6580
39,"Rs. 2,55,000",Used,7/1/2017,329,Kathmandu,Cruiser,2016,Bajaj,Avenger,150,81,550
40,"Rs. 1,00,000",Used,5/1/2017,226,Pokhara,Standard,2014,Bajaj,Pulsar 150,150,10,21000
41,"Rs. 2,10,000",Used,1/1/2017,411,Kathmandu,Standard,2015,Bajaj,Pulsar 220F,220,62,24000
42,"Rs. 1,65,000",Used,31/12/2016,630,Bharatpur,Standard,2013,Bajaj,Pulsar 220F,220,28,24000
43,"Rs. 2,30,000",Used,27/12/2016,160,Pokhara,Sportsbike,2016,Bajaj,Pulsar 200NS,200,11,2500
44,Rs. 230.00,Used,22/12/2016,137,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,12,9000
45,"Rs. 2,00,000",Used,22/12/2016,66,Kathmandu,Standard,2010,Bajaj,Discover 135,135,4294967295,1000
46,"Rs. 3,30,000",Used,21/12/2016,105,Butwal,Sportsbike,2015,Bajaj,Pulsar RS200,200,2015,2400
47,"Rs. 2,20,000",Used,17/12/2016,436,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,72,11000
48,"Rs. 2,20,000",Used,17/12/2016,240,Kathmandu,Cruiser,2016,Bajaj,Avenger,220,72,11000
49,"Rs. 1,95,000",Used,14/12/2016,81,Bhairahawa,Standard,2014,Bajaj,Pulsar 180,180,17,17000
50,"Rs. 1,80,000",Used,13/12/2016,641,Kathmandu,Standard,2016,Bajaj,Pulsar 180,180,11,7200
51,"Rs. 2,30,000",Used,13/12/2016,291,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,72,11000
52,Contact Seller,Used,11/12/2016,614,Narayanghat,Standard,2015,Bajaj,Pulsar 220F,220,32,9000
53,"Rs. 1,99,999",Used,8/12/2016,62,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,1,10300
54,Rs. 235.00,Used,4/12/2016,652,Kathmandu,Standard,2016,Bajaj,Pulsar 220F,220,74,5900
55,"Rs. 3,50,000",Used,2/12/2016,644,Kathmandu,Sportsbike,2015,Bajaj,Pulsar RS200,200,70,2200
56,"Rs. 1,10,000",Used,2/12/2016,373,Lalitpur,Cruiser,2010,Bajaj,Avenger,200,33,19800
57,"Rs. 2,45,000",Used,29/11/2016,117,Pokhara,Standard,2016,Bajaj,Pulsar 220F,220,12,
58,"Rs. 2,55,000",Used,28/11/2016,82,Pokhara,Cruiser,2016,Bajaj,Avenger,154,11,6500
59,"Rs. 2,55,000",Used,26/11/2016,516,Kathmandu,Sportsbike,2016,Bajaj,Pulsar 200NS,200,73,10700
