Make,Model,Engine size (cc),Motorbike Type ,Make Year,datetime,Condition ,City,Lot No.,Kilometers,views (int),price(float)
Bajaj,Pulsar 220F,220.0,Standard,2017.0,2020-07-10,Used,Kathmandu,92.0,36000.0,5,210000.0
Bajaj,Pulsar 220,220.0,Standard,2015.0,2020-09-25,Used,Pokhara,11.0,19000.0,46,220000.0
Bajaj,Pulsar 220,220.0,Standard,2010.0,2020-08-14,Used,Lahan,17.0,90000.0,143,85500.0
Bajaj,Avenger,220.0,Cruiser,2018.0,2020-07-23,Used,Kathmandu,301.0,10600.0,89,260000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2018.0,2020-09-07,Used,Kathmandu,90.0,22000.0,137,220000.0
Bajaj,Avenger,150.0,Cruiser,2018.0,2020-08-07,Used,Kathmandu,94.0,7000.0,120,215000.0
Bajaj,Other,200.0,Standard,2017.0,2020-06-30,Used,Kathmandu,83.0,31000.0,364,140000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2017-03-30,Used,Lekhnath,12.0,30000.0,174,193000.0
Bajaj,Pulsar 220,220.0,Standard,2016.0,2017-03-30,Used,Narayanghat,45.0,1325.0,120,285000.0
Bajaj,Pulsar 220,220.0,Standard,2015.0,2017-03-24,Used,Lekhnath,12.0,29000.0,1319,200999.0
Bajaj,Pulsar 150,150.0,Standard,2016.0,2017-03-18,Used,Kathmandu,70.0,4500.0,137,210000.0
Bajaj,Pulsar 220F,220.0,Standard,2013.0,2017-03-20,Used,Kathmandu,59.0,14000.0,538,156000.0
Bajaj,Avenger,220.0,Cruiser,2013.0,2017-03-16,Used,Kathmandu,54.0,21000.0,459,130000.0
Bajaj,Avenger,220.0,Cruiser,2013.0,2017-03-16,Used,Kathmandu,54.0,21000.0,319,130000.0
Bajaj,Avenger,220.0,Cruiser,2011.0,2017-03-16,Used,Kathmandu,57.0,19500.0,441,135000.0
Bajaj,Avenger,220.0,Cruiser,2017.0,2017-03-15,Used,Kathmandu,65.0,23000.0,168,170000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2017-03-14,Used,Lalitpur,81.0,6000.0,595,255000.0
Bajaj,Avenger,220.0,Cruiser,2016.0,2017-09-03,Used,Kathmandu,78.0,3700.0,399,280000.0
Bajaj,Avenger,220.0,Cruiser,2016.0,2017-09-03,Used,Kathmandu,78.0,3735.0,285,280000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2017-09-03,Used,Bhaktapur,78.0,2500.0,511,250000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2014.0,2017-07-03,Used,Kathmandu,67.0,13000.0,406,220000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2017-02-25,Used,Butwal,2014.0,30000.0,1666,165000.0
Bajaj,Pulsar 220S,220.0,Standard,2013.0,2017-02-22,Used,Biratnagar,17.0,30000.0,1324,170000.0
Bajaj,Pulsar RS200,4.0,Sportsbike,2016.0,2017-02-17,Used,,70.0,10000.0,558,325000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2017-12-02,Used,Kathmandu,70.0,1488.0,298,158000.0
Bajaj,Avenger,220.0,Cruiser,2013.0,2017-02-02,Used,Kathmandu,8.0,26000.0,399,220.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2017-02-02,Used,Lekhnath,11.0,8000.0,130,220000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2013.0,2017-01-02,Used,Kathmandu,60.0,33000.0,656,185000.0
Bajaj,Pulsar 150,140.0,Standard,2010.0,2017-01-30,Used,Butwal,8.0,33000.0,214,NaN
Bajaj,Pulsar 150,150.0,Standard,2012.0,2017-01-23,Used,Kathmandu,46.0,37000.0,90,185000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2017-01-23,Used,Dumre,10.0,8000.0,273,200000.0
Bajaj,Pulsar 150,150.0,Standard,2016.0,2017-01-18,Used,Kathmandu,73.0,2000.0,93,210000.0
Bajaj,Pulsar 180,180.0,Standard,2010.0,2017-01-15,Used,Kathmandu,43.0,38000.0,172,92000.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2017-01-15,Used,Kathmandu,69.0,11000.0,466,190000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2017-01-14,Used,Pokhara,9.0,20000.0,717,175000.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2017-01-13,Used,Kathmandu,69.0,11000.0,266,210000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2017.0,2017-08-01,Used,Bhaktapur,79.0,2700.0,595,260000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2017-08-01,Used,Kathmandu,74.0,12000.0,494,220000.0
Bajaj,Avenger,200.0,Cruiser,2009.0,2017-07-01,Used,Waling,10.0,6580.0,172,95000.0
Bajaj,Avenger,150.0,Cruiser,2016.0,2017-07-01,Used,Kathmandu,81.0,550.0,329,255000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2017-05-01,Used,Pokhara,10.0,21000.0,226,100000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2017-01-01,Used,Kathmandu,62.0,24000.0,411,210000.0
Bajaj,Pulsar 220F,220.0,Standard,2013.0,2016-12-31,Used,Bharatpur,28.0,24000.0,630,165000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-12-27,Used,Pokhara,11.0,2500.0,160,230000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-22,Used,Pokhara,12.0,9000.0,137,230.0
Bajaj,Discover 135,135.0,Standard,2010.0,2016-12-22,Used,Kathmandu,4294967295.0,1000.0,66,200000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-12-21,Used,Butwal,2015.0,2400.0,105,330000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-17,Used,Kathmandu,72.0,11000.0,436,220000.0
Bajaj,Avenger,220.0,Cruiser,2016.0,2016-12-17,Used,Kathmandu,72.0,11000.0,240,220000.0
Bajaj,Pulsar 180,180.0,Standard,2014.0,2016-12-14,Used,Bhairahawa,17.0,17000.0,81,195000.0
Bajaj,Pulsar 180,180.0,Standard,2016.0,2016-12-13,Used,Kathmandu,11.0,7200.0,641,180000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-13,Used,Kathmandu,72.0,11000.0,291,230000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-11-12,Used,Narayanghat,32.0,9000.0,614,NaN
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-08-12,Used,Kathmandu,1.0,10300.0,62,199999.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-04-12,Used,Kathmandu,74.0,5900.0,652,235.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-02-12,Used,Kathmandu,70.0,2200.0,644,350000.0
Bajaj,Avenger,200.0,Cruiser,2010.0,2016-02-12,Used,Lalitpur,33.0,19800.0,373,110000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-11-29,Used,Pokhara,12.0,,117,245000.0
Bajaj,Avenger,154.0,Cruiser,2016.0,2016-11-28,Used,Pokhara,11.0,6500.0,82,255000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-11-26,Used,Kathmandu,73.0,10700.0,516,255000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-11-16,Used,Kathmandu,49.0,33000.0,120,125000.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-11-14,Used,Pokhara,73.0,9000.0,316,239999.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-04-12,Used,Kathmandu,70.0,5000.0,368,199900.0
Bajaj,Pulsar 220F,220.0,Standard,2016.0,2016-12-11,Used,Lalitpur,24.0,9700.0,58,220000.0
Bajaj,Pulsar 220F,22.0,Standard,2016.0,2016-12-11,Used,Kathmandu,24.0,9700.0,530,220000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2015.0,2016-10-11,Used,Kathmandu,70.0,8500.0,106,230000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2016.0,2016-09-11,Used,Pokhara,12.0,700.0,600,270000.0
